"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Ohio,Hamilton,Democrat,802374,1976.7,96643
Missouri,Oregon,Democrat,10881,13.8,590
Colorado,Costilla,Democrat,3524,2.9,87
Oklahoma,Cotton,Democrat,6193,9.8,592
Illinois,Shelby,Democrat,22363,29.5,1722
Kentucky,Spencer,Democrat,17061,91.4,1479
Nebraska,Dundy,Democrat,2008,2.2,15
Nebraska,Richardson,Democrat,8363,15.2,64
Illinois,Calhoun,Democrat,5089,20.0,949
Illinois,McHenry,Democrat,308760,511.9,25268
Nevada,Clark,Democrat,1951269,247.3,8687
California,Sonoma,Democrat,483878,307.1,87638
California,Kern,Democrat,839631,103.3,32579
Oklahoma,Cimarron,Democrat,2475,1.3,90
Kentucky,Madison,Democrat,82916,189.6,7826
Ohio,Meigs,Democrat,23770,55.3,1557
Idaho,Shoshone,Democrat,12765,4.9,130
West Virginia,Wood,Democrat,86956,237.4,7688
Arkansas,Washington,Democrat,203065,215.6,17617
Washington,Pierce,Democrat,795225,476.3,2680
Texas,Lubbock,Democrat,278831,311.3,9879
North Carolina,Lenoir,Democrat,59495,148.5,6678
North Carolina,Camden,Democrat,9980,41.5,766
Nevada,Lyon,Democrat,51980,26.0,168
New York,Madison,Democrat,73442,112.2,4226
Tennessee,Claiborne,Democrat,32213,74.1,856
Oklahoma,Payne,Democrat,77350,113.0,6451
Pennsylvania,Huntingdon,Democrat,45913,52.5,2966
Florida,Bradford,Democrat,28520,97.0,1964
Oklahoma,Washington,Democrat,50976,122.7,3655
Georgia,Taliaferro,Democrat,1717,8.8,271
Texas,Comal,Democrat,108472,193.9,5132
Missouri,Knox,Democrat,4131,8.2,228
Tennessee,Stewart,Democrat,13324,29.0,771
Georgia,Mitchell,Democrat,23498,45.9,1541
New York,Putnam,Democrat,99710,432.9,7050
Ohio,Union,Democrat,52300,121.1,3081
Texas,Dawson,Democrat,13833,15.4,126
New York,Cortland,Democrat,49336,98.9,3280
Ohio,Athens,Democrat,64757,128.6,9196
California,San Francisco,Democrat,805235,17179.1,152261
South Dakota,Brookings,Democrat,31965,40.3,1856
Oregon,Linn,Democrat,116672,50.9,11808
Illinois,Bond,Democrat,17768,46.7,1576
Wisconsin,Shawano,Democrat,41949,47.0,5100
Ohio,Montgomery,Democrat,535153,1159.5,55890
Alabama,Clay,Democrat,13932,23.1,942
Texas,Victoria,Democrat,86793,98.4,3323
Wyoming,Big Horn,Democrat,11668,3.7,4
South Carolina,Chester,Democrat,33140,57.1,2454
California,San Bernardino,Democrat,2035210,101.5,123016
South Dakota,Jones,Democrat,1006,1.0,51
Texas,Franklin,Democrat,10605,37.3,236
Florida,Alachua,Democrat,247336,282.7,35323
